37.3396861396125,127.10899889017415,200
37.339686142553745,127.10916276418715,13
37.33950005291492,127.10915721437483,
37.33948061102337,127.10917388007604,12
37.3397416918693,127.10917387272583,
37.34058048352261,127.10917384911069,
37.340619368900924,127.10922939852875,13
37.3406415891456,127.10926272821087,
37.340641592336205,127.1094404898519,
37.34064159273503,127.10946271005703,211
37.34064437537562,127.10975157264556,11
37.3406332716845,127.11009320861237,211
37.340630501507555,127.11049872743446,11
37.340630509434675,127.1109403540118,201
